INDIAN COFFEE HOUSE,,,,,,,,
"Reported to : Rugma Raghav
Identified by : Rahul R
Date : 17/06/2023
Enviroment details : Google Chrome Version 114.0.5735.134
",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BUG ID,TEST ID,EXPECTED RESULT,BUG DESCRIPTION,STEPS TO REPRODUCE,SEVERITY,PRIORITY,SCREENSHOT,STATUS
IND_01,IND_HM_01,Page title should be clear and readable,Page title is not clear and readable unless we zoom in the same,"1.open Indian coffee house site home page
2.Look for Page title
3.Try to read",Minor,High,https://drive.google.com/file/d/1KOeBJP2Q45iIKtzmvxlp-Rm0ZX2uCLRe/view?usp=sharing,New
IND_02,IND_HM_02,Logo should be clear and readable,Logo is not clear and readable unless we zoom in the same,"1.open home page
2.Look for Logo",Minor,High,https://drive.google.com/file/d/1FH76IteWdOXAB2JsZrl5dVvNYugTZ_QD/view?usp=sharing,New
IND_03,IND_HM_03,Site should be secure,Site is not secure,"1.open home page
2.Look for  https in URL
3.Check by taking different link options",Critical,High,https://drive.google.com/file/d/18J5_8Vi9ZsPiF8QAZjNX87gVEgIkVo8f/view?usp=sharing,New
IND_04,IND_HM_06,Every links should be redirected to its corresponding page,some of the links are not redirecting,"1.open home page
2.Check the links",Minor,Low,https://drive.google.com/file/d/1xZdQk-ausv2tyDC-IZOSM9MtZQufco9g/view?usp=sharing,New
IND_05,IND_HM_08,Asterick symbol should be there for mandatory fields,There is no asterick symbol,"1.open home page
2.Check for asterick symbol",Minor,Low,https://drive.google.com/file/d/1IigYHZOaQ4J2ywXVGT9mKbNhohAGT7qR/view?usp=sharing,New
IND_06,IND_HM_09,Photos should be clearly visible,Photos are overlapped and clumsy especially when we take the site in mobile,"1.open Indian coffee house site
2.Look for photos",Minor,Low,https://drive.google.com/file/d/10sN-71bZjuqHvYAv-Ajd31ugNJWxwiXL/view?usp=sharing,New
IND_07,IND_HM_10,contents below who we are portion should display correctly,content under founder title is repeated twice,"1.open home page
2.Check the contents",Minor,Low,https://drive.google.com/file/d/17l0O3YECmRvcPePAbTvbcs2XJMTeAg4B/view?usp=sharing,New
IND_08,IND_HM_14,Name field should only accept alphabet values,Name field accepting all type of values ,"1.open home page
2.Look for enquiry portion
3.Enter a name consisting of all characters including special and numeric contents",Minor,Low,https://drive.google.com/file/d/1l3AZcOpoqFBj8aIQaI2zf-bS9VlsV-zi/view?usp=sharing,New
IND_09,IND_HM_15,Phone number field should only accept numeric values,Phone number field accepting all type of values ,"1.open home page
2.Look for enquiry portion
3.Enter number including characters and symbols",Minor,Low,https://drive.google.com/file/d/1MNG7Fz5nSjjajBRbbgI3cj3cqVqCTI-n/view?usp=sharing,New
IND_10,IND_HM_16,dropdown selection facility should be present in country field, dropdown selection facility is not present,"1.open home page
2.Look for enquiry portion
3.Click on country field and look for drop down selection facility",Enhancement,Low,https://drive.google.com/file/d/17_Z6BytTDpgBwkkmWgsFJjUGrbhetqC1/view?usp=sharing,New
